Название товара,Описание,Характеристики,Цена без скидки,Цена со скидкой,Рейтинг,Отзывы,Заказы,Магазин,Ссылка на магазин,Ссылка на товар
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.5 см; Высота упаковки: 11.7 см; Длина упаковки: 33 см; Материал стельки: ткань; Страна производства: Китай; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; ТНВЭД: 6404110000,2541.0р,1499.0р,5,148,Более 1300,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/54778023/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота упаковки: 13 см; Длина упаковки: 34 см; Вид застежки: шнуровка; Материал подкладки обуви: ткань; Материал стельки: ткань; Материал подошвы обуви: ЭВА; Страна производства: Китай; Полнота обуви (EUR): G (7); ТНВЭД: 6404110000,2855.0р,1570.0р,5,198,Более 1000,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848725/detail.aspx
Велосипед 2-х колесный,"Двухколесный велосипед TimeJump - велосипед для девочек от 7 лет и ростом до 150 см при полностью поднятом сидении. Максимальная нагрузка составляет 60 кг. Модель имеет низкую раму из стали, одну скорость и привычный всем задний ножной тормоз. Система рулевого управления оснащена жесткой стальной вилкой, колеса диаметром 20 дюймов, обеспечивают надежное сцепление с дорожным покрытием и комфорт при катании. Для удобства постановки на стоянку в конструкции предусмотрена подножка. Сидение регулируется по высоте. Колеса, руль и рама оснащены светоотражателями для видимости велосипедиста на дороге в темное время суток. Цепь велосипеда оснащена защитной крышкой.","Число зубьев на второй звезде: 20 шт.; Число зубьев на первой звезде: 40 шт.; Толщина колеса: 60 мм; Вес с упаковкой (кг): 10.8 кг; Вес без упаковки (кг): 10.4 кг; Нагрузка максимальная: 60 кг; Длина предмета: 57 см; Ширина упаковки: 54 см; Высота упаковки: 17 см; Длина упаковки: 113 см; Конструкция руля: изогнутый; Материал седла: пластик; Уровень заднего переключателя: нет; Уровень заднего тормоза: прогулочный; Возрастная группа: для детей; Пол велосипеда: женский; Материал рамы/основания: сталь; Возрастные ограничения: 7 лет; Транспортировка: не опасный груз; Уровень каретки: прогулочный; Уровень переднего переключателя: нет; Число зубьев на третьей звезде: нет; Конструкция вилки: жесткая; Конструкция педалей: классическая; Рулевая колонка: безрезьбовая; Уровень кассеты: прогулочный; Страна производства: Китай; Количество звезд системы: 2; Конструкция каретки: неинтегрированная; Конструкция манеток: нет; Конструкция рулевой колонки: полуинтегрированная; Размер рулевой колонки: 1 1/4""; Уровень переднего тормоза: нет; Велосипедный модельный год: 2020; Материал обода: сталь; Диаметр колес (дюймы): 20""; Материал бортировочного шнура: металл; Материал рамы седла: сталь; Уровень манеток: нет; Уровень мягкой вилки: начальный; Тип тормозов велосипеда: ножной; Тип амортизации: без амортизаторов; Тип велосипеда: городской; Тип рамы велосипеда: софт-тэйл; Стиль катания: классический",14998.0р,6149.0р,5,292,Более 400,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/63527202/detail.aspx
Ботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 27 см; Высота упаковки: 12 см; Длина упаковки: 34 см; ТНВЭД: 6403511500; Материал стельки: флис; Полнота обуви (EUR): G (7); Страна производства: Китай; Материал подкладки обуви: флис; Материал подошвы обуви: ЭВА (этиленвинилацетат),3124.0р,2499.0р,4,32,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/38826590/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 25 см; Высота упаковки: 11 см; Длина упаковки: 30 см; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6404110000; Материал подкладки обуви: ткань; Материал стельки: ткань,2929.0р,1552.0р,5,44,Более 600,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848841/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.5 см; Высота упаковки: 11.7 см; Длина упаковки: 33 см; Полнота обуви (EUR): G (7); Материал подкладки обуви: ткань; Страна производства: Китай; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА; Материал стельки: ткань; ТНВЭД: 6404110000,3258.0р,1238.0р,5,161,Более 1700,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/54778020/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота каблука: 4.5 см; Высота подошвы: 2 см; Высота упаковки: 13 см; Длина упаковки: 33 см; Материал стельки: флис; Полнота обуви (EUR): G (7); Материал подкладки обуви: флис; Материал подошвы обуви: ЭВА; ТПР; Страна производства: Китай; ТНВЭД: 6403993300; Вид застежки: шнуровка,4307.0р,2067.0р,5,23,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110728235/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.5 см; Высота упаковки: 11.7 см; Длина упаковки: 33 см; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА; Материал стельки: ткань; Страна производства: Китай; ТНВЭД: 6404110000; Материал подкладки обуви: ткань,2829.0р,1499.0р,5,198,Более 1500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848726/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота каблука: 4.2 см; Высота подошвы: 2 см; Высота упаковки: 13 см; Длина упаковки: 34 см; Материал стельки: ткань; ТНВЭД: 6403993300; Вид застежки: шнуровка; Страна производства: Китай; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7),2702.0р,1999.0р,5,78,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/56285572/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.1 см; Высота каблука: 4.3 см; Высота подошвы: 2.2 см; Высота упаковки: 21.1 см; Длина упаковки: 30 см; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА; Материал стельки: ткань; ТНВЭД: 6403993300; Вид застежки: шнуровка; Страна производства: Китай; Материал подкладки обуви: ткань,2982.0р,1759.0р,4,5,Более 60,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/87628784/detail.aspx
